"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","625","Login with correct email and password","LMS service","2026-07-08","passed","2026-07-08","Login","Authentication","",""
"","13","Get file","LMS service","2026-07-08","passed","2026-07-08","Get entity","Files","",""
"","19","Update exercise","LMS service","2026-07-08","passed","2026-07-08","Update entity","Exercises","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","617","Create user","LMS service","2026-07-08","passed","2026-07-08","Create entity","Users","",""
"","344","Update course","LMS service","2026-07-08","passed","2026-07-08","Update entity","Courses","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","597","Create user","LMS service","2026-07-08","passed","2026-07-08","Create entity","Users","",""
"","16","Get exercises","LMS service","2026-07-08","passed","2026-07-08","Get entities","Exercises","",""
"","22","Create file","LMS service","2026-07-08","passed","2026-07-08","Create entity","Files","",""
"","30","Create course","LMS service","2026-07-08","passed","2026-07-08","Create entity","Courses","",""
"","13","Create file with empty directory","LMS service","2026-07-08","failed","2026-07-08","Validate entity","Files","",""
"","18","Delete exercise","LMS service","2026-07-08","passed","2026-07-08","Delete entity","Exercises","",""
"","293","Create file with empty filename","LMS service","2026-07-08","failed","2026-07-08","Validate entity","Files","",""
"","12","Get user me","LMS service","2026-07-08","passed","2026-07-08","Get entity","Users","",""
"","30","Get courses","LMS service","2026-07-08","passed","2026-07-08","Get entities","Courses","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","624","Create user","LMS service","2026-07-08","passed","2026-07-08","Create entity","Users","",""
"","308","Get file with incorrect file id","LMS service","2026-07-08","passed","2026-07-08","Validate entity","Files","",""
"","22","Delete file","LMS service","2026-07-08","passed","2026-07-08","Delete entity","Files","",""
"","26","Create exercise","LMS service","2026-07-08","passed","2026-07-08","Create entity","Exercises","",""
"","19","Get exercise","LMS service","2026-07-08","passed","2026-07-08","Get entity","Exercises","",""
