"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13","Create file with empty directory","LMS service","2026-07-08","skipped","2026-07-08","Validate entity","Files","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","596","Create user","LMS service","2026-07-08","passed","2026-07-08","Create entity","Users","",""
"","13","Get file","LMS service","2026-07-08","passed","2026-07-08","Get entity","Files","",""
"","25","Create file","LMS service","2026-07-08","passed","2026-07-08","Create entity","Files","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","615","Create user","LMS service","2026-07-08","passed","2026-07-08","Create entity","Users","",""
"","18","Update exercise","LMS service","2026-07-08","passed","2026-07-08","Update entity","Exercises","",""
"","33","Create course","LMS service","2026-07-08","passed","2026-07-08","Create entity","Courses","",""
"","13","Get user me","LMS service","2026-07-08","passed","2026-07-08","Get entity","Users","",""
"","17","Get exercises","LMS service","2026-07-08","passed","2026-07-08","Get entities","Exercises","",""
"","27","Get courses","LMS service","2026-07-08","passed","2026-07-08","Get entities","Courses","",""
"","45","Update course","LMS service","2026-07-08","passed","2026-07-08","Update entity","Courses","",""
"","625","Login with correct email and password","LMS service","2026-07-08","passed","2026-07-08","Login","Authentication","",""
"","308","Get file with incorrect file id","LMS service","2026-07-08","passed","2026-07-08","Validate entity","Files","",""
"","17","Delete exercise","LMS service","2026-07-08","passed","2026-07-08","Delete entity","Exercises","",""
"","20","Delete file","LMS service","2026-07-08","passed","2026-07-08","Delete entity","Files","",""
"","299","Create file with empty filename","LMS service","2026-07-08","skipped","2026-07-08","Validate entity","Files","",""
"","25","Create exercise","LMS service","2026-07-08","passed","2026-07-08","Create entity","Exercises","",""
"
        Проверка создания пользователя(POST /api/v1/users)
        ","623","Create user","LMS service","2026-07-08","passed","2026-07-08","Create entity","Users","",""
"","22","Get exercise","LMS service","2026-07-08","passed","2026-07-08","Get entity","Exercises","",""
